algo,env_id,train_seed,n_episodes,reached_at_all_rate,reached_within_time_fraction_rate,avg_steps_to_reach,avg_min_distance
ddpg,Pusher-v5,0,50,0.02,0.02,75.0,0.10237827756156329
ddpg,Pusher-v5,1,50,0.02,0.02,98.0,0.10361410348685386
ddpg,Pusher-v5,2,50,0.06,0.06,99.0,0.06583820165509634
ddpg,Pusher-v5,0,50,0.0,0.0,,0.1390119780483364
ddpg,Pusher-v5,1,50,0.36,0.36,81.44444444444444,0.05986558249488439
ddpg,Pusher-v5,2,50,0.42,0.42,75.23809523809524,0.06828529962413704
td3,Pusher-v5,0,50,0.0,0.0,,0.05346282322071899
td3,Pusher-v5,1,50,0.64,0.64,73.1875,0.01699749527028088
td3,Pusher-v5,2,50,0.08,0.08,83.0,0.03149510618453415
sac,Pusher-v5,0,50,0.78,0.78,72.58974358974359,0.015347803869826582
sac,Pusher-v5,1,50,0.72,0.72,80.38888888888889,0.01372081266639293
sac,Pusher-v5,2,50,0.0,0.0,,0.0301499221992111
ppo,Pusher-v5,0,50,0.46,0.46,77.78260869565217,0.03399811012581583
ppo,Pusher-v5,1,50,0.38,0.38,64.47368421052632,0.04130558750242809
ppo,Pusher-v5,2,50,0.32,0.32,78.4375,0.029174308867531792
