algo,env_id,train_seed,n_episodes,reached_at_all_rate,reached_within_time_fraction_rate,avg_steps_to_reach,avg_min_distance,avg_final_distance
ddpg,Pusher-v5,0,50,0.0,0.0,,0.10688806522743269,0.11686959150714761
ddpg,Pusher-v5,1,50,0.0,0.0,,0.16580098551885147,0.174508720904071
ddpg,Pusher-v5,2,50,0.0,0.0,,0.11521255694591494,0.11585348675772558
ddpg,Pusher-v5,3,50,0.04,0.04,88.0,0.12604554309305804,0.15356906341768836
ddpg,Pusher-v5,4,50,0.0,0.0,,0.19911384069235413,0.2013824310989049
ddpg,Pusher-v5,5,50,0.0,0.0,,0.1823082306976792,0.20811455434300516
td3,Pusher-v5,0,50,0.14,0.14,92.14285714285714,0.02853713097082487,0.02853713097082487
td3,Pusher-v5,1,50,0.02,0.02,92.0,0.04261022780096004,0.04270820171507527
td3,Pusher-v5,2,50,0.86,0.86,83.76744186046511,0.01879340911411689,0.02397168369697085
td3,Pusher-v5,3,50,0.04,0.04,99.5,0.04054717774974138,0.0412673886582257
td3,Pusher-v5,4,50,0.36,0.36,82.66666666666667,0.028028696927525965,0.028028696927525965
td3,Pusher-v5,5,50,0.0,0.0,,0.03817002547583788,0.03817002547583788
sac,Pusher-v5,0,50,0.28,0.28,60.5,0.027506424526012537,0.027739268318735362
sac,Pusher-v5,1,50,0.48,0.48,76.29166666666667,0.019398739890338655,0.01940183739970944
sac,Pusher-v5,2,50,0.36,0.36,82.16666666666667,0.021148962412020272,0.02199587084737826
sac,Pusher-v5,3,50,0.98,0.98,82.57142857142857,0.012859502169371604,0.012859502169371604
sac,Pusher-v5,4,50,0.06,0.06,87.33333333333333,0.03050036056575031,0.03079616552485336
sac,Pusher-v5,5,50,0.94,0.94,79.40425531914893,0.013003511038778719,0.013003511038778719
ppo,Pusher-v5,0,50,0.06,0.06,67.33333333333333,0.053112119996361694,0.05746079733106521
ppo,Pusher-v5,1,50,0.26,0.26,76.0,0.07818341903777946,0.10411019672502358
ppo,Pusher-v5,2,50,0.46,0.46,90.34782608695652,0.03513976617100184,0.03520322004000463
ppo,Pusher-v5,3,50,0.12,0.12,73.0,0.07684584575848873,0.09269798823584438
ppo,Pusher-v5,4,50,0.04,0.04,75.5,0.09664202062296265,0.10602046110210411
ppo,Pusher-v5,5,50,0.28,0.28,72.07142857142857,0.03670176401910402,0.04071622059465497
