algo,env_id,train_seed,n_episodes,reached_at_all_rate,reached_within_time_fraction_rate,avg_steps_to_reach,avg_min_distance
ddpg,Pusher-v5,0,50,0.0,0.0,,0.10688806522743269
ddpg,Pusher-v5,1,50,0.0,0.0,,0.16580098551885147
ddpg,Pusher-v5,2,50,0.0,0.0,,0.11521255694591494
td3,Pusher-v5,0,50,0.14,0.14,92.14285714285714,0.02853713097082487
td3,Pusher-v5,1,50,0.02,0.02,92.0,0.04261022780096004
td3,Pusher-v5,2,50,0.86,0.86,83.76744186046511,0.01879340911411689
sac,Pusher-v5,0,50,0.28,0.28,60.5,0.027506424526012537
sac,Pusher-v5,1,50,0.48,0.48,76.29166666666667,0.019398739890338655
sac,Pusher-v5,2,50,0.36,0.36,82.16666666666667,0.021148962412020272
ppo,Pusher-v5,0,50,0.06,0.06,67.33333333333333,0.053112119996361694
ppo,Pusher-v5,1,50,0.26,0.26,76.0,0.07818341903777946
ppo,Pusher-v5,2,50,0.46,0.46,90.34782608695652,0.03513976617100184
ddpg,Pusher-v5,3,50,0.04,0.04,88.0,0.12604554309305804
ddpg,Pusher-v5,4,50,0.0,0.0,,0.19911384069235413
ddpg,Pusher-v5,5,50,0.0,0.0,,0.1823082306976792
td3,Pusher-v5,3,50,0.04,0.04,99.5,0.04054717774974138
td3,Pusher-v5,4,50,0.36,0.36,82.66666666666667,0.028028696927525965
td3,Pusher-v5,5,50,0.0,0.0,,0.03817002547583788
sac,Pusher-v5,3,50,0.98,0.98,82.57142857142857,0.012859502169371604
sac,Pusher-v5,4,50,0.06,0.06,87.33333333333333,0.03050036056575031
sac,Pusher-v5,5,50,0.94,0.94,79.40425531914893,0.013003511038778719
ppo,Pusher-v5,3,50,0.12,0.12,73.0,0.07684584575848873
ppo,Pusher-v5,4,50,0.04,0.04,75.5,0.09664202062296265
ppo,Pusher-v5,5,50,0.28,0.28,72.07142857142857,0.03670176401910402
