algo,seed,timesteps,pct_of_training,wall_clock_min,success_rate_within_time_fraction,reached_at_all_rate,avg_steps_to_reach,avg_final_distance,avg_min_distance
ddpg,0,25000,2.5,2.1416666666666666,0.0,0.0,,0.23409941873304957,0.23187471261259845
ddpg,0,50000,5.0,5.533333333333333,0.0,0.0,,0.24972286944028185,0.22967628630706155
ddpg,0,75000,7.5,8.858333333333333,0.0,0.0,,0.2090459794256875,0.20850783852687074
ddpg,0,100000,10.0,12.2,0.0,0.0,,0.19162941870900146,0.1678037699806672
ddpg,0,125000,12.5,15.566666666666666,0.0,0.0,,0.15974332091196694,0.14591619462379735
ddpg,0,150000,15.0,18.95,0.0,0.0,,0.1585908090747351,0.14262270006544336
ddpg,0,175000,17.5,22.341666666666665,0.0,0.0,,0.13959600217227036,0.12849314626415265
ddpg,0,200000,20.0,25.783333333333335,0.0,0.0,,0.10303256141452846,0.09996701066496487
ddpg,0,225000,22.5,29.208333333333332,0.0,0.0,,0.12748010614049365,0.11365317129823996
ddpg,0,250000,25.0,32.68333333333333,0.0,0.0,,0.12068013463597763,0.11891401675681294
ddpg,0,275000,27.5,36.166666666666664,0.0,0.0,,0.11129475985237866,0.1065811954391372
ddpg,0,300000,30.0,39.7,0.0,0.0,,0.0652450559333836,0.06330581279251575
ddpg,0,325000,32.5,43.25833333333333,0.0,0.0,,0.1095690013584358,0.09302729948514711
ddpg,0,350000,35.0,46.833333333333336,0.0,0.0,,0.06927970956642722,0.06445173964425024
ddpg,0,375000,37.5,50.38333333333333,0.0,0.0,,0.09733264588028141,0.09443564481115549
ddpg,0,400000,40.0,53.983333333333334,0.0,0.0,,0.13607512232401575,0.12401656643031997
ddpg,0,425000,42.5,57.583333333333336,0.0,0.0,,0.07528473700233473,0.0748097596548947
ddpg,0,450000,45.0,61.166666666666664,0.0,0.0,,0.06671552724908612,0.06624013754511285
ddpg,0,475000,47.5,64.775,0.0,0.0,,0.1206294586257692,0.11224336731661735
ddpg,0,500000,50.0,68.43333333333334,0.0,0.0,,0.10864303892077025,0.10741506652141579
ddpg,0,525000,52.5,72.0,0.0,0.0,,0.12896669599661933,0.11912028436750204
ddpg,0,550000,55.0,75.63333333333334,0.0,0.0,,0.12173086845457903,0.11914566837146698
ddpg,0,575000,57.5,79.275,0.0,0.0,,0.09790488127829301,0.09390259805706665
ddpg,0,600000,60.0,82.88333333333334,0.0,0.0,,0.11224176998171076,0.10798090792271575
ddpg,0,625000,62.5,86.53333333333333,0.0,0.0,,0.1431522701990049,0.13561699116785603
ddpg,0,650000,65.0,90.15,0.0,0.0,,0.11045114522382349,0.10797760254654583
ddpg,0,675000,67.5,93.81666666666666,0.0,0.0,,0.1530339504422029,0.1414656151513599
ddpg,0,700000,70.0,97.43333333333334,0.0,0.0,,0.10637206941955923,0.0972562714022221
ddpg,0,725000,72.5,101.11666666666666,0.0,0.0,,0.11315323739519356,0.1034520956609758
ddpg,0,750000,75.0,104.95,0.0,0.0,,0.2138417264237086,0.1813025381835399
ddpg,0,775000,77.5,108.75,0.0,0.0,,0.1684267319747155,0.1367968754584989
ddpg,0,800000,80.0,112.6,0.0,0.0,,0.08893592286005983,0.08745123224977076
ddpg,0,825000,82.5,116.31666666666666,0.0,0.0,,0.23299290079435103,0.23203792174628785
ddpg,0,850000,85.0,120.0,0.0,0.0,,0.2321508524829244,0.2319921980448844
ddpg,0,875000,87.5,123.61666666666666,0.0,0.0,,0.21102488945805836,0.19760748615151003
ddpg,0,900000,90.0,127.33333333333333,0.0,0.0,,0.23585039054002593,0.2004040026987149
ddpg,0,925000,92.5,130.96666666666667,0.0,0.0,,0.14590572945310104,0.13147990695807482
ddpg,0,950000,95.0,134.61666666666667,0.0,0.0,,0.1914734435824607,0.1914734435824607
ddpg,0,975000,97.5,138.26666666666668,0.0,0.0,,0.1568373832562797,0.1504461179131542
ddpg,0,1000000,100.0,142.0,0.0,0.0,,0.13571678048504213,0.12308214437838887
ddpg,1,25000,2.5,2.1166666666666667,0.0,0.0,,0.23210526833355977,0.23207411238342823
ddpg,1,50000,5.0,5.483333333333333,0.0,0.0,,0.23175238624982714,0.22255797321938733
ddpg,1,75000,7.5,8.816666666666666,0.0,0.0,,0.23055959818146707,0.21163060309623064
ddpg,1,100000,10.0,12.1,0.0,0.0,,0.19643842487342172,0.18793619909254825
ddpg,1,125000,12.5,15.425,0.0,0.0,,0.19941767096973914,0.18861286667521826
ddpg,1,150000,15.0,18.783333333333335,0.0,0.0,,0.18919560116798748,0.1871505035412398
ddpg,1,175000,17.5,22.175,0.0,0.0,,0.23209065828300215,0.23209065828300215
ddpg,1,200000,20.0,25.566666666666666,0.0,0.0,,0.20119096854939275,0.19009212863278055
ddpg,1,225000,22.5,28.991666666666667,0.0,0.0,,0.17520909709410143,0.17520909709410143
ddpg,1,250000,25.0,32.416666666666664,0.0,0.0,,0.2053636346415167,0.17642660481300496
ddpg,1,275000,27.5,35.88333333333333,0.0,0.0,,0.13571360167654195,0.13120235589945436
ddpg,1,300000,30.0,39.38333333333333,0.0,0.0,,0.1477176525282805,0.14736888313861213
ddpg,1,325000,32.5,42.858333333333334,0.0,0.0,,0.10261612277261709,0.0999924711276596
ddpg,1,350000,35.0,46.333333333333336,0.0,0.0,,0.1381018058049031,0.12635433753483521
ddpg,1,375000,37.5,49.85,0.0,0.0,,0.17003763563964452,0.14857793319916582
ddpg,1,400000,40.0,53.4,0.0,0.0,,0.16067368150474054,0.15601383338026759
ddpg,1,425000,42.5,56.94166666666667,0.0,0.0,,0.20906209342932497,0.19842516321533
ddpg,1,450000,45.0,60.516666666666666,0.0,0.0,,0.10938448864995705,0.10645284057182344
ddpg,1,475000,47.5,64.10833333333333,0.0,0.0,,0.21568250178380005,0.18812421156368667
ddpg,1,500000,50.0,67.68333333333334,0.0,0.0,,0.16737414357952649,0.15110990026643742
ddpg,1,525000,52.5,71.31666666666666,0.0,0.0,,0.14503014487709875,0.12282620646298312
ddpg,1,550000,55.0,74.91666666666667,0.0,0.0,,0.1161485293092914,0.09528980321358092
ddpg,1,575000,57.5,78.58333333333333,0.0,0.0,,0.09353585795433257,0.09353585795433257
ddpg,1,600000,60.0,82.25,0.0,0.0,,0.11272198602744439,0.10628818349075093
ddpg,1,625000,62.5,85.88333333333334,0.0,0.0,,0.13758088690371068,0.12918169495099147
ddpg,1,650000,65.0,89.56666666666666,0.0,0.0,,0.09424497900308133,0.09395326179951316
ddpg,1,675000,67.5,93.18333333333334,0.0,0.0,,0.09919182972755264,0.098841549205142
ddpg,1,700000,70.0,96.88333333333334,0.0,0.0,,0.1293167997229991,0.10676371838624747
ddpg,1,725000,72.5,100.55,0.0,0.0,,0.12217414703229071,0.10949858634154226
ddpg,1,750000,75.0,104.4,0.0,0.0,,0.09555177935859224,0.09377563096833255
ddpg,1,775000,77.5,108.25,0.0,0.0,,0.09460369446512466,0.09460369446512466
ddpg,1,800000,80.0,112.11666666666666,0.0,0.0,,0.08738940212801519,0.08688087807993444
ddpg,1,825000,82.5,115.91666666666667,0.0,0.0,,0.09692116490710681,0.08522502262933282
ddpg,1,850000,85.0,119.63333333333334,0.0,0.0,,0.13075371309472503,0.12450424840357688
ddpg,1,875000,87.5,123.4,0.0,0.0,,0.109661343595773,0.09893640870255757
ddpg,1,900000,90.0,127.13333333333334,0.0,0.0,,0.08508644513407944,0.08508644513407944
ddpg,1,925000,92.5,130.85,0.0,0.0,,0.12072063059909452,0.11224345738408381
ddpg,1,950000,95.0,134.63333333333333,0.0,0.0,,0.11426515204806942,0.11129544690725539
ddpg,1,975000,97.5,138.35,0.0,0.0,,0.18845538537789214,0.1782412620806734
ddpg,1,1000000,100.0,142.05,0.0,0.0,,0.19169171911716681,0.18353701159541133
ddpg,2,25000,2.5,2.125,0.0,0.0,,0.23010619337286436,0.23010619337286436
ddpg,2,50000,5.0,5.483333333333333,0.0,0.0,,0.22631893333378258,0.22618256366660483
ddpg,2,75000,7.5,8.825,0.0,0.0,,0.23088703675089253,0.219077392571772
ddpg,2,100000,10.0,12.15,0.0,0.0,,0.2256761558927381,0.2055346050231897
ddpg,2,125000,12.5,15.508333333333333,0.0,0.0,,0.20104516753374213,0.20031539874482585
ddpg,2,150000,15.0,18.883333333333333,0.0,0.0,,0.23245561249270397,0.22472589584125954
ddpg,2,175000,17.5,22.291666666666668,0.0,0.0,,0.1423039703803396,0.1266998752946069
ddpg,2,200000,20.0,25.683333333333334,0.0,0.0,,0.18081501705335953,0.1566310518647327
ddpg,2,225000,22.5,29.125,0.0,0.0,,0.20421433426217042,0.19593172218834354
ddpg,2,250000,25.0,32.55,0.0,0.0,,0.13818995317681532,0.13055607649615697
ddpg,2,275000,27.5,36.025,0.0,0.0,,0.1664827229054581,0.1554856084905617
