algo,env_id,train_seed,n_episodes,reached_at_all_rate,reached_within_time_fraction_rate,avg_steps_to_reach,avg_min_distance,avg_final_distance
ddpg,Reacher-v5,0,50,0.98,0.66,20.346938775510203,0.007982969496697185,0.015540453562412952
ddpg,Reacher-v5,1,50,0.98,0.72,18.918367346938776,0.006673513291892227,0.011732956030089921
ddpg,Reacher-v5,2,50,1.0,0.86,18.86,0.004581122254072098,0.009526874662912032
ddpg,Reacher-v5,3,50,0.9,0.7,19.31111111111111,0.008970515274873853,0.017763298191720546
ddpg,Reacher-v5,4,50,0.94,0.62,19.06382978723404,0.008066830330946902,0.019969335733063795
ddpg,Reacher-v5,5,50,1.0,0.58,19.64,0.006606603656501869,0.012971215459437286
td3,Reacher-v5,0,50,1.0,0.62,20.4,0.004868588498022099,0.008760159147679868
td3,Reacher-v5,1,50,1.0,0.56,20.02,0.00383088056530757,0.00929002155899791
td3,Reacher-v5,2,50,1.0,0.5,20.32,0.004520162970056562,0.007622241431006821
td3,Reacher-v5,3,50,0.98,0.74,18.877551020408163,0.005574405677086273,0.007750328416228408
td3,Reacher-v5,4,50,1.0,0.42,21.02,0.005503503771450754,0.007753771712481804
td3,Reacher-v5,5,50,0.96,0.5,20.1875,0.004804854655818092,0.006905028658235438
sac,Reacher-v5,0,50,1.0,0.84,18.6,0.0027895058135903304,0.005189500410039751
sac,Reacher-v5,1,50,1.0,0.68,19.36,0.0036965579510810586,0.005544056495588284
sac,Reacher-v5,2,50,0.98,0.74,18.816326530612244,0.00470725593326363,0.006642418355663606
sac,Reacher-v5,3,50,1.0,0.64,19.26,0.0041997277755725735,0.0065354688216678666
sac,Reacher-v5,4,50,0.98,0.66,19.285714285714285,0.004240250520224927,0.006779969444536404
sac,Reacher-v5,5,50,1.0,0.66,20.54,0.004611527685299547,0.006905785226060296
ppo,Reacher-v5,0,50,0.92,0.24,25.76086956521739,0.007176043408586359,0.0140776148552506
ppo,Reacher-v5,1,50,0.96,0.28,24.104166666666668,0.005635774890955289,0.014835196195084797
ppo,Reacher-v5,2,50,0.92,0.26,25.043478260869566,0.006611398556359295,0.01510316644899392
ppo,Reacher-v5,3,50,0.76,0.2,27.105263157894736,0.013017878662296907,0.017322408649039903
ppo,Reacher-v5,4,50,0.94,0.34,23.148936170212767,0.00658471114619408,0.011081458552092782
ppo,Reacher-v5,5,50,0.82,0.28,23.902439024390244,0.010512510664530642,0.015229441710617495
