algo,seed,timesteps,pct_of_training,wall_clock_min,success_rate_within_time_fraction,reached_at_all_rate,avg_steps_to_reach,avg_final_distance,avg_min_distance
ddpg,0,25000,8.333333333333334,1.2666666666666666,0.2,0.2,13.5,0.08206315371619868,0.030619293188248197
ddpg,0,50000,16.666666666666668,3.283333333333333,0.2,0.5,18.5,0.033793113983383395,0.027607594649320742
ddpg,0,75000,25.0,5.316666666666666,0.5,0.8,17.8,0.023235044528490813,0.012968925041127021
ddpg,0,100000,33.333333333333336,7.433333333333334,0.4,1.0,17.25,0.017600808140425597,0.008739483270043476
ddpg,0,125000,41.666666666666664,9.616666666666667,0.7,0.9,17.857142857142858,0.014890482222141241,0.009709935612359178
ddpg,0,150000,50.0,11.733333333333333,0.7,1.0,18.142857142857142,0.009902162039859922,0.0047959330518656355
ddpg,0,175000,58.333333333333336,13.866666666666667,0.8,1.0,17.375,0.014763478481190681,0.005204132007161552
ddpg,0,200000,66.66666666666667,16.016666666666666,0.7,1.0,17.285714285714285,0.015751083891172635,0.0071447027327690895
ddpg,0,225000,75.0,18.15,0.3,0.8,17.333333333333332,0.012192717044547548,0.00868324727387904
ddpg,0,250000,83.33333333333333,20.3,0.6,1.0,16.666666666666668,0.012812842684103237,0.004801744793066441
ddpg,0,275000,91.66666666666667,22.433333333333334,0.5,1.0,17.8,0.010857933771474837,0.005339176606692117
ddpg,0,300000,100.0,24.6,0.9,1.0,18.22222222222222,0.017702906624037736,0.006148057615438016
ddpg,1,25000,8.333333333333334,1.2,0.0,0.0,,0.06222335703008776,0.03662722173115766
ddpg,1,50000,16.666666666666668,3.1333333333333333,0.5,0.7,18.0,0.04050902982919842,0.01803384880954375
ddpg,1,75000,25.0,5.083333333333333,0.5,1.0,19.2,0.025172243344752404,0.008437427525354582
ddpg,1,100000,33.333333333333336,7.133333333333334,0.8,1.0,18.25,0.01849814575277092,0.009108349781765598
ddpg,1,125000,41.666666666666664,9.233333333333333,0.5,1.0,17.0,0.012469803250786735,0.009347006358157564
ddpg,1,150000,50.0,11.35,0.9,1.0,17.444444444444443,0.017554495450496067,0.008106424793908985
ddpg,1,175000,58.333333333333336,13.466666666666667,0.7,1.0,17.571428571428573,0.012714128941394323,0.005265749912948236
ddpg,1,200000,66.66666666666667,15.583333333333334,0.9,1.0,17.11111111111111,0.013944752990747272,0.005249963158837292
ddpg,1,225000,75.0,17.716666666666665,0.6,1.0,17.166666666666668,0.009602051580774658,0.005805221100686294
ddpg,1,250000,83.33333333333333,19.85,1.0,1.0,17.4,0.013149841399903536,0.00799301437620822
ddpg,1,275000,91.66666666666667,21.983333333333334,0.6,1.0,18.0,0.010781895348232975,0.007969784070078575
ddpg,1,300000,100.0,24.133333333333333,0.9,1.0,17.666666666666668,0.008236302804429376,0.005868173163488044
ddpg,2,25000,8.333333333333334,1.2,0.1,0.1,16.0,0.06477909473907024,0.04801683489075599
ddpg,2,50000,16.666666666666668,3.1666666666666665,0.3,0.7,17.666666666666668,0.024669315055700206,0.0179019730786558
ddpg,2,75000,25.0,5.15,0.3,0.9,17.333333333333332,0.021689054816261103,0.010428867137155042
ddpg,2,100000,33.333333333333336,7.233333333333333,0.5,1.0,17.8,0.014842490010979995,0.006169034958684671
ddpg,2,125000,41.666666666666664,9.35,0.6,1.0,17.833333333333332,0.013583879526147518,0.0068048525044091465
ddpg,2,150000,50.0,11.5,0.5,1.0,17.0,0.010122297047341194,0.005655743723382502
ddpg,2,175000,58.333333333333336,13.666666666666666,0.8,1.0,17.0,0.014343600203833008,0.005423623243910256
ddpg,2,200000,66.66666666666667,15.833333333333334,0.8,1.0,17.375,0.01637583387314622,0.005701209049862481
ddpg,2,225000,75.0,18.0,0.7,1.0,17.0,0.011551724680719633,0.006196297936064172
ddpg,2,250000,83.33333333333333,20.166666666666668,0.6,1.0,17.5,0.009568553066598647,0.004289918427873525
ddpg,2,275000,91.66666666666667,22.35,0.5,1.0,19.0,0.009429791972863293,0.0057262821691031265
ddpg,2,300000,100.0,24.533333333333335,1.0,1.0,18.1,0.007734491577289527,0.003912209654326571
ddpg,3,25000,8.333333333333334,1.9166666666666667,0.3,0.3,15.333333333333334,0.07020679618126133,0.034377010719377515
ddpg,3,50000,16.666666666666668,5.1,0.0,0.0,,0.052587526335566945,0.04575563192194082
ddpg,3,75000,25.0,8.283333333333333,0.2,0.6,19.0,0.026719347993552727,0.02054108710515876
ddpg,3,100000,33.333333333333336,11.65,0.5,0.9,17.4,0.020568609536203437,0.011132105335751544
ddpg,3,125000,41.666666666666664,15.033333333333333,0.6,1.0,18.0,0.010615602954763638,0.007076021854014234
ddpg,3,150000,50.0,18.4,0.4,1.0,18.75,0.012767177266764957,0.007684107217875979
ddpg,3,175000,58.333333333333336,21.816666666666666,0.6,1.0,18.666666666666668,0.016302489132304115,0.005585329392763318
ddpg,3,200000,66.66666666666667,25.183333333333334,0.6,1.0,17.166666666666668,0.010013534270873767,0.007506937363962551
ddpg,3,225000,75.0,28.566666666666666,0.8,1.0,17.5,0.015234493196880569,0.006060615757572094
ddpg,3,250000,83.33333333333333,31.933333333333334,0.8,1.0,17.0,0.012604361145783134,0.006339810878753775
ddpg,3,275000,91.66666666666667,35.333333333333336,0.8,1.0,17.375,0.015351378016146219,0.0050261962079670005
ddpg,3,300000,100.0,38.7,0.7,1.0,18.142857142857142,0.014549178156922239,0.007078625605712834
ddpg,4,25000,8.333333333333334,1.9166666666666667,0.3,0.4,18.333333333333332,0.0760182416325689,0.02878991041034163
ddpg,4,50000,16.666666666666668,5.083333333333333,0.3,0.5,15.666666666666666,0.06197364094814846,0.032305965101095666
ddpg,4,75000,25.0,8.266666666666667,0.2,0.6,18.0,0.021107576691064882,0.018323205004228616
ddpg,4,100000,33.333333333333336,11.616666666666667,0.2,0.4,17.5,0.030427545177182262,0.024883544742791756
ddpg,4,125000,41.666666666666664,15.033333333333333,0.3,0.9,16.666666666666668,0.022455733731343977,0.014819342639039477
ddpg,4,150000,50.0,18.4,0.5,0.9,17.8,0.014455794513942147,0.010222515443961116
ddpg,4,175000,58.333333333333336,21.816666666666666,0.7,1.0,17.714285714285715,0.013384433079036123,0.004891743087857477
ddpg,4,200000,66.66666666666667,25.216666666666665,0.6,1.0,18.5,0.012779159588607803,0.003913672223046912
