algo,seed,timesteps,pct_of_training,wall_clock_min,success_rate_within_40pct,reached_at_all_rate,avg_steps_to_reach
ddpg,0,25000,8.333333333333334,1.2666666666666666,0.2,0.2,13.5
ddpg,0,50000,16.666666666666668,3.283333333333333,0.2,0.5,18.5
ddpg,0,75000,25.0,5.316666666666666,0.5,0.8,17.8
ddpg,0,100000,33.333333333333336,7.433333333333334,0.4,1.0,17.25
ddpg,0,125000,41.666666666666664,9.616666666666667,0.7,0.9,17.857142857142858
ddpg,0,150000,50.0,11.733333333333333,0.7,1.0,18.142857142857142
ddpg,0,175000,58.333333333333336,13.866666666666667,0.8,1.0,17.375
ddpg,0,200000,66.66666666666667,16.016666666666666,0.7,1.0,17.285714285714285
ddpg,0,225000,75.0,18.15,0.3,0.8,17.333333333333332
ddpg,0,250000,83.33333333333333,20.3,0.6,1.0,16.666666666666668
ddpg,0,275000,91.66666666666667,22.433333333333334,0.5,1.0,17.8
ddpg,0,300000,100.0,24.6,0.9,1.0,18.22222222222222
ddpg,1,25000,8.333333333333334,1.2,0.0,0.0,
ddpg,1,50000,16.666666666666668,3.1333333333333333,0.5,0.7,18.0
ddpg,1,75000,25.0,5.083333333333333,0.5,1.0,19.2
ddpg,1,100000,33.333333333333336,7.133333333333334,0.8,1.0,18.25
ddpg,1,125000,41.666666666666664,9.233333333333333,0.5,1.0,17.0
ddpg,1,150000,50.0,11.35,0.9,1.0,17.444444444444443
ddpg,1,175000,58.333333333333336,13.466666666666667,0.7,1.0,17.571428571428573
ddpg,1,200000,66.66666666666667,15.583333333333334,0.9,1.0,17.11111111111111
ddpg,1,225000,75.0,17.716666666666665,0.6,1.0,17.166666666666668
ddpg,1,250000,83.33333333333333,19.85,1.0,1.0,17.4
ddpg,1,275000,91.66666666666667,21.983333333333334,0.6,1.0,18.0
ddpg,1,300000,100.0,24.133333333333333,0.9,1.0,17.666666666666668
ddpg,2,25000,8.333333333333334,1.2,0.1,0.1,16.0
ddpg,2,50000,16.666666666666668,3.1666666666666665,0.3,0.7,17.666666666666668
ddpg,2,75000,25.0,5.15,0.3,0.9,17.333333333333332
ddpg,2,100000,33.333333333333336,7.233333333333333,0.5,1.0,17.8
ddpg,2,125000,41.666666666666664,9.35,0.6,1.0,17.833333333333332
ddpg,2,150000,50.0,11.5,0.5,1.0,17.0
ddpg,2,175000,58.333333333333336,13.666666666666666,0.8,1.0,17.0
ddpg,2,200000,66.66666666666667,15.833333333333334,0.8,1.0,17.375
ddpg,2,225000,75.0,18.0,0.7,1.0,17.0
ddpg,2,250000,83.33333333333333,20.166666666666668,0.6,1.0,17.5
ddpg,2,275000,91.66666666666667,22.35,0.5,1.0,19.0
ddpg,2,300000,100.0,24.533333333333335,1.0,1.0,18.1
td3,0,25000,8.333333333333334,1.2166666666666666,0.0,0.7,
td3,0,50000,16.666666666666668,3.25,0.1,0.6,20.0
td3,0,75000,25.0,5.266666666666667,0.3,0.8,18.666666666666668
td3,0,100000,33.333333333333336,7.383333333333334,0.3,0.8,19.333333333333332
td3,0,125000,41.666666666666664,9.533333333333333,0.4,1.0,18.75
td3,0,150000,50.0,11.733333333333333,0.5,1.0,18.0
td3,0,175000,58.333333333333336,13.966666666666667,0.5,1.0,18.4
td3,0,200000,66.66666666666667,16.2,0.7,1.0,18.285714285714285
td3,0,225000,75.0,18.466666666666665,0.6,1.0,18.833333333333332
td3,0,250000,83.33333333333333,20.733333333333334,0.5,0.9,18.8
td3,0,275000,91.66666666666667,23.0,0.6,1.0,17.666666666666668
td3,0,300000,100.0,25.283333333333335,0.6,1.0,18.166666666666668
td3,1,25000,8.333333333333334,1.2166666666666666,0.0,0.4,
td3,1,50000,16.666666666666668,3.2,0.2,0.6,19.0
td3,1,75000,25.0,5.216666666666667,0.3,0.7,15.666666666666666
td3,1,100000,33.333333333333336,7.283333333333333,0.3,0.9,17.666666666666668
td3,1,125000,41.666666666666664,9.416666666666666,0.3,0.9,18.0
td3,1,150000,50.0,11.616666666666667,0.3,0.9,17.333333333333332
td3,1,175000,58.333333333333336,13.85,0.3,0.9,19.666666666666668
td3,1,200000,66.66666666666667,16.066666666666666,0.7,1.0,18.714285714285715
td3,1,225000,75.0,18.316666666666666,0.3,1.0,19.333333333333332
td3,1,250000,83.33333333333333,20.583333333333332,0.4,1.0,17.0
td3,1,275000,91.66666666666667,22.816666666666666,0.5,1.0,17.6
td3,1,300000,100.0,25.133333333333333,0.6,1.0,18.333333333333332
td3,2,25000,8.333333333333334,1.2,0.0,0.5,
td3,2,50000,16.666666666666668,3.183333333333333,0.3,1.0,19.333333333333332
td3,2,75000,25.0,5.183333333333334,0.4,0.7,18.5
td3,2,100000,33.333333333333336,7.266666666666667,0.4,1.0,18.0
td3,2,125000,41.666666666666664,9.433333333333334,0.2,1.0,17.5
td3,2,150000,50.0,11.616666666666667,0.8,1.0,18.875
td3,2,175000,58.333333333333336,13.85,0.5,1.0,18.0
