algo,train_seed,n_episodes,reached_at_all_rate,reached_within_40pct_rate,avg_steps_to_reach,avg_min_distance
ddpg,0,50,0.98,0.66,20.346938775510203,0.007982969496697185
ddpg,1,50,0.98,0.72,18.918367346938776,0.006673513291892227
ddpg,2,50,1.0,0.86,18.86,0.004581122254072098
td3,0,50,1.0,0.62,20.4,0.004868588498022099
td3,1,50,1.0,0.56,20.02,0.00383088056530757
td3,2,50,1.0,0.5,20.32,0.004520162970056562
sac,0,50,1.0,0.84,18.6,0.0027895058135903304
sac,1,50,1.0,0.68,19.36,0.0036965579510810586
sac,2,50,0.98,0.74,18.816326530612244,0.00470725593326363
ppo,0,50,0.92,0.24,25.52173913043478,0.008754644235787779
ppo,1,50,0.86,0.28,26.53488372093023,0.010000323993617374
ppo,2,50,0.88,0.14,25.227272727272727,0.010547379762548022
ddpg_1critic,0,50,0.98,0.66,20.346938775510203,0.007982969496697185
ddpg_1critic,1,50,0.98,0.72,18.918367346938776,0.006673513291892227
ddpg_1critic,2,50,1.0,0.86,18.86,0.004581122254072098
