algo,seed,timesteps,pct_of_training,success_rate_within_40pct,avg_steps_to_reach
ddpg,0,25000,8.333333333333334,0.2,13.5
ddpg,0,50000,16.666666666666668,0.2,18.5
ddpg,0,75000,25.0,0.5,17.8
ddpg,0,100000,33.333333333333336,0.4,17.25
ddpg,0,125000,41.666666666666664,0.7,17.857142857142858
ddpg,0,150000,50.0,0.7,18.142857142857142
ddpg,0,175000,58.333333333333336,0.8,17.375
ddpg,0,200000,66.66666666666667,0.7,17.285714285714285
ddpg,0,225000,75.0,0.3,17.333333333333332
ddpg,0,250000,83.33333333333333,0.6,16.666666666666668
ddpg,0,275000,91.66666666666667,0.5,17.8
ddpg,0,300000,100.0,0.9,18.22222222222222
ddpg,1,25000,8.333333333333334,0.0,
ddpg,1,50000,16.666666666666668,0.5,18.0
ddpg,1,75000,25.0,0.5,19.2
ddpg,1,100000,33.333333333333336,0.8,18.25
ddpg,1,125000,41.666666666666664,0.5,17.0
ddpg,1,150000,50.0,0.9,17.444444444444443
ddpg,1,175000,58.333333333333336,0.7,17.571428571428573
ddpg,1,200000,66.66666666666667,0.9,17.11111111111111
ddpg,1,225000,75.0,0.6,17.166666666666668
ddpg,1,250000,83.33333333333333,1.0,17.4
ddpg,1,275000,91.66666666666667,0.6,18.0
ddpg,1,300000,100.0,0.9,17.666666666666668
ddpg,2,25000,8.333333333333334,0.1,16.0
ddpg,2,50000,16.666666666666668,0.3,17.666666666666668
ddpg,2,75000,25.0,0.3,17.333333333333332
ddpg,2,100000,33.333333333333336,0.5,17.8
ddpg,2,125000,41.666666666666664,0.6,17.833333333333332
ddpg,2,150000,50.0,0.5,17.0
ddpg,2,175000,58.333333333333336,0.8,17.0
ddpg,2,200000,66.66666666666667,0.8,17.375
ddpg,2,225000,75.0,0.7,17.0
ddpg,2,250000,83.33333333333333,0.6,17.5
ddpg,2,275000,91.66666666666667,0.5,19.0
ddpg,2,300000,100.0,1.0,18.1
td3,0,25000,8.333333333333334,0.0,
td3,0,50000,16.666666666666668,0.1,20.0
td3,0,75000,25.0,0.3,18.666666666666668
td3,0,100000,33.333333333333336,0.3,19.333333333333332
td3,0,125000,41.666666666666664,0.4,18.75
td3,0,150000,50.0,0.5,18.0
td3,0,175000,58.333333333333336,0.5,18.4
td3,0,200000,66.66666666666667,0.7,18.285714285714285
td3,0,225000,75.0,0.6,18.833333333333332
td3,0,250000,83.33333333333333,0.5,18.8
td3,0,275000,91.66666666666667,0.6,17.666666666666668
td3,0,300000,100.0,0.6,18.166666666666668
td3,1,25000,8.333333333333334,0.0,
td3,1,50000,16.666666666666668,0.2,19.0
td3,1,75000,25.0,0.3,15.666666666666666
td3,1,100000,33.333333333333336,0.3,17.666666666666668
td3,1,125000,41.666666666666664,0.3,18.0
td3,1,150000,50.0,0.3,17.333333333333332
td3,1,175000,58.333333333333336,0.3,19.666666666666668
td3,1,200000,66.66666666666667,0.7,18.714285714285715
td3,1,225000,75.0,0.3,19.333333333333332
td3,1,250000,83.33333333333333,0.4,17.0
td3,1,275000,91.66666666666667,0.5,17.6
td3,1,300000,100.0,0.6,18.333333333333332
td3,2,25000,8.333333333333334,0.0,
td3,2,50000,16.666666666666668,0.3,19.333333333333332
td3,2,75000,25.0,0.4,18.5
td3,2,100000,33.333333333333336,0.4,18.0
td3,2,125000,41.666666666666664,0.2,17.5
td3,2,150000,50.0,0.8,18.875
td3,2,175000,58.333333333333336,0.5,18.0
td3,2,200000,66.66666666666667,0.5,18.8
td3,2,225000,75.0,0.2,18.0
td3,2,250000,83.33333333333333,0.4,18.25
td3,2,275000,91.66666666666667,0.3,18.666666666666668
td3,2,300000,100.0,0.4,18.75
sac,0,25000,8.333333333333334,0.1,18.0
sac,0,50000,16.666666666666668,0.1,18.0
sac,0,75000,25.0,0.3,19.666666666666668
sac,0,100000,33.333333333333336,0.1,17.0
sac,0,125000,41.666666666666664,0.3,17.666666666666668
sac,0,150000,50.0,0.4,18.0
sac,0,175000,58.333333333333336,0.4,18.0
sac,0,200000,66.66666666666667,0.6,17.833333333333332
sac,0,225000,75.0,0.8,17.75
sac,0,250000,83.33333333333333,0.9,17.444444444444443
sac,0,275000,91.66666666666667,0.9,17.77777777777778
sac,0,300000,100.0,0.9,18.22222222222222
sac,1,25000,8.333333333333334,0.0,
sac,1,50000,16.666666666666668,0.2,19.5
sac,1,75000,25.0,0.3,19.0
sac,1,100000,33.333333333333336,0.5,19.2
sac,1,125000,41.666666666666664,0.4,17.75
sac,1,150000,50.0,0.5,17.6
sac,1,175000,58.333333333333336,0.6,18.166666666666668
sac,1,200000,66.66666666666667,0.5,18.4
sac,1,225000,75.0,0.4,18.0
sac,1,250000,83.33333333333333,0.9,18.88888888888889
sac,1,275000,91.66666666666667,0.9,18.0
sac,1,300000,100.0,0.7,18.285714285714285
sac,2,25000,8.333333333333334,0.0,
sac,2,50000,16.666666666666668,0.1,20.0
sac,2,75000,25.0,0.3,17.333333333333332
sac,2,100000,33.333333333333336,0.4,18.5
sac,2,125000,41.666666666666664,0.1,19.0
sac,2,150000,50.0,0.5,18.2
sac,2,175000,58.333333333333336,0.5,18.6
sac,2,200000,66.66666666666667,0.8,18.5
sac,2,225000,75.0,0.6,17.833333333333332
sac,2,250000,83.33333333333333,0.8,18.625
sac,2,275000,91.66666666666667,0.9,18.22222222222222
sac,2,300000,100.0,0.8,17.875
ppo,0,25000,2.5,0.0,
ppo,0,50000,5.0,0.1,18.0
ppo,0,75000,7.5,0.2,19.5
ppo,0,100000,10.0,0.0,
ppo,0,125000,12.5,0.0,
ppo,0,150000,15.0,0.0,
ppo,0,175000,17.5,0.0,
ppo,0,200000,20.0,0.0,
ppo,0,225000,22.5,0.0,
ppo,0,250000,25.0,0.0,
ppo,0,275000,27.5,0.0,
ppo,0,300000,30.0,0.0,
ppo,0,325000,32.5,0.0,
ppo,0,350000,35.0,0.0,
ppo,0,375000,37.5,0.0,
ppo,0,400000,40.0,0.1,20.0
ppo,0,425000,42.5,0.0,
ppo,0,450000,45.0,0.0,
ppo,0,475000,47.5,0.1,20.0
ppo,0,500000,50.0,0.0,
ppo,0,525000,52.5,0.0,
ppo,0,550000,55.0,0.0,
ppo,0,575000,57.5,0.1,19.0
ppo,0,600000,60.0,0.0,
ppo,0,625000,62.5,0.0,
ppo,0,650000,65.0,0.0,
ppo,0,675000,67.5,0.0,
ppo,0,700000,70.0,0.0,
ppo,0,725000,72.5,0.0,
ppo,0,750000,75.0,0.1,20.0
ppo,0,775000,77.5,0.1,20.0
ppo,0,800000,80.0,0.0,
ppo,0,825000,82.5,0.1,19.0
ppo,0,850000,85.0,0.0,
ppo,0,875000,87.5,0.2,18.5
ppo,0,900000,90.0,0.1,20.0
ppo,0,925000,92.5,0.0,
ppo,0,950000,95.0,0.0,
ppo,0,975000,97.5,0.3,20.0
ppo,0,1000000,100.0,0.0,
ppo,1,25000,2.5,0.2,18.5
ppo,1,50000,5.0,0.0,
ppo,1,75000,7.5,0.0,
ppo,1,100000,10.0,0.0,
ppo,1,125000,12.5,0.0,
ppo,1,150000,15.0,0.0,
ppo,1,175000,17.5,0.0,
